'TITLE OF THE PROBLEM: Calcite in equilibrium'
'---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'
'MIXING RATIOS'
12 3.3581882094E-02 8.3954705235E-01 1.1021547211E-01 1.4469052399E-02 1.8994926332E-03 2.4936479361E-04 3.2736532217E-05 4.2976466079E-06 5.6422478155E-07 7.4265021594E-08 1.0957134334E-08 0.0000000000E+00
12 5.3883119697E-03 1.3470779924E-01 7.4701597762E-01 9.8068021816E-02 1.2874338958E-02 1.6901391567E-03 2.2188094058E-04 2.9128493675E-05 3.8241901860E-06 5.0335181303E-07 7.4265021594E-08 0.0000000000E+00
12 8.6457053841E-04 2.1614263460E-02 1.1986091555E-01 7.4506688341E-01 9.7812145344E-02 1.2840747582E-02 1.6857293318E-03 2.2130227162E-04 2.9054093381E-05 3.8241901860E-06 5.6422478155E-07 0.0000000000E+00
12 1.3872289134E-04 3.4680722836E-03 1.9232037209E-02 1.1954817764E-01 7.4502582728E-01 9.7806755558E-02 1.2840040320E-02 1.6856383981E-03 2.2130227162E-04 2.9128493675E-05 4.2976466079E-06 0.0000000000E+00
12 2.2258496834E-05 5.5646242086E-04 3.0858370611E-03 1.9181857499E-02 1.1954159013E-01 7.4502496285E-01 9.7806644417E-02 1.2840040320E-02 1.6857293318E-03 2.2188094058E-04 3.2736532217E-05 0.0000000000E+00
12 3.5714415147E-06 8.9286037868E-05 4.9513166454E-04 3.0777856525E-03 1.9180800972E-02 1.1954145429E-01 7.4502496285E-01 9.7806755558E-02 1.2840747582E-02 1.6901391567E-03 2.4936479361E-04 0.0000000000E+00
12 5.7304898359E-07 1.4326224590E-05 7.9445427271E-05 4.9384035342E-04 3.0776196267E-03 1.9180800972E-02 1.1954159013E-01 7.4502582728E-01 9.7812145344E-02 1.2874338958E-02 1.8994926332E-03 0.0000000000E+00
12 9.1952465512E-08 2.2988116378E-06 1.2747955446E-05 7.9242506952E-05 4.9384035342E-04 3.0777856525E-03 1.9181857499E-02 1.1954817764E-01 7.4506688341E-01 9.8068021816E-02 1.4469052399E-02 0.0000000000E+00
12 1.4792640700E-08 3.6981601749E-07 2.0507979152E-06 1.2747955446E-05 7.9445427271E-05 4.9513166454E-04 3.0858370611E-03 1.9232037209E-02 1.1986091555E-01 7.4701597762E-01 1.1021547211E-01 0.0000000000E+00
12 2.6675253721E-09 6.6688134302E-08 3.6981601749E-07 2.2988116378E-06 1.4326224590E-05 8.9286037868E-05 5.5646242086E-04 3.4680722836E-03 2.1614263460E-02 1.3470779924E-01 8.3954705235E-01 0.0000000000E+00
0
'---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'
'MIXING WATERS'
1 11 1 2 3 4 5 6 7 8 9 10 12
2 11 1 2 3 4 5 6 7 8 9 10 12
3 11 1 2 3 4 5 6 7 8 9 10 12
4 11 1 2 3 4 5 6 7 8 9 10 12
5 11 1 2 3 4 5 6 7 8 9 10 12
6 11 1 2 3 4 5 6 7 8 9 10 12
7 11 1 2 3 4 5 6 7 8 9 10 12
8 11 1 2 3 4 5 6 7 8 9 10 12
9 11 1 2 3 4 5 6 7 8 9 10 12
10 11 1 2 3 4 5 6 7 8 9 10 12
'---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'
'end'
