'temp' 1 25.0
'glycine(aq)' 4  -3.50 'o2(g)'   1.00 'no3-'   2.00 'hco3-'   3.00 'h+' 160.1275  3.0  0.0
'h2(aq)' 1  -0.50 'o2(g)'  44.6575  3.0  0.0
'h2aso3-' 2  -0.50 'o2(g)'   1.00 'h2aso4-'  29.0857  4.0 -1.0
'h2co3' 2 1.0 'h+' 1.0 'hco3-' -6.35 1.0 0.0					! radio ionico inventado
'h2o' 2 1.0 'h+' 1.0 'oh-' -14.0 3.0 0.0						 
'h2po4-' 2   1.00 'h+'   1.00 'hpo4-2'  -7.2054  4.0 -1.0
'hg2+2' 3  -2.00 'h+'  -0.50 'o2(g)'   2.00 'hg+2'  10.7589  4.5  2.0
'hs-' 3  -2.00 'o2(g)'   1.00 'h+'   1.00 'so4-2' 132.5203  3.0 -1.0
'io3-' 2   1.00 'i-'   1.50 'o2(g)' -13.3334  4.0 -1.0
'methanamine(aq)' 4  -3.50 'o2(g)'   1.00 'hco3-'   1.00 'no3-'   2.00 'h+' 167.5043  3.0  0.0
'methane(aq)' 3  -2.00 'o2(g)'   1.00 'h+'   1.00 'hco3-' 138.3445  3.0  0.0
'methanol(aq)' 3  -1.50 'o2(g)'   1.00 'h+'   1.00 'hco3-' 113.5572  3.0  0.0
'mn+3' 3   0.25 'o2(g)'   1.00 'h+'   1.00 'mn+2'   4.8057  5.0  3.0
'mno4-2' 3  -4.00 'h+'   1.00 'mn+2'   1.00 'o2(g)'  35.3129  4.0 -2.0
'n2(aq)' 3  -2.50 'o2(g)'   2.00 'h+'   2.00 'no3-'   0.4935  3.0  0.0
'n3-' 3  -4.00 'o2(g)'   2.00 'h+'   3.00 'no3-'  77.7391  4.0 -1.0
!'nh4+' 3  -2.00 'o2(g)'   1.00 'no3-'   2.00 'h+'  47.0625  3.0  1.0
'no2-' 2  -0.50 'o2(g)'   1.00 'no3-'  13.7857  4.0 -1.0
'np+3' 3  -1.00 'h+'  -0.25 'o2(g)'   1.00 'np+4'  18.2885  5.0  3.0
'npo2+' 3  -3.00 'h+'   0.25 'o2(g)'   1.00 'np+4'  -9.8683  4.0  1.0
'npo2+2' 3  -2.00 'h+'   0.50 'o2(g)'   1.00 'np+4'  -9.7615  4.5  2.0
'oh-' 1 -1.00 'h+' 14.0 3.0 -1.0
'pb+4' 3   0.50 'o2(g)'   1.00 'pb+2'   2.00 'h+'  15.6294  5.5  4.0
'po4-3' 2  -1.00 'h+'   1.00 'hpo4-2'  12.3218  4.0 -3.0
'pu+3' 3  -1.00 'h+'  -0.25 'o2(g)'   1.00 'pu+4'   3.7825  5.0  3.0
'puo2+' 3  -3.00 'h+'   0.25 'o2(g)'   1.00 'pu+4'  -2.1773  4.0  1.0
'puo2+2' 3  -2.00 'h+'   0.50 'o2(g)'   1.00 'pu+4'  -6.6781  4.5  2.0
'ru(oh)2+2' 3  -0.50 'o2(g)'   1.00 'ruo4-2'   4.00 'h+' -26.6961  4.5  2.0
'ru+2' 3  -1.00 'o2(g)'   1.00 'ruo4-2'   4.00 'h+'  -3.0593  4.5  2.0
'ru+3' 3  -0.75 'o2(g)'   1.00 'ruo4-2'   5.00 'h+' -19.7886  5.0  3.0
'ruo4(aq)' 3   0.50 'o2(g)'   1.00 'ruo4-2'   2.00 'h+' -14.8180  3.0  0.0
'ruo4-' 3   0.25 'o2(g)'   1.00 'h+'   1.00 'ruo4-2' -10.8778  4.0 -1.0
'se-2' 2  -1.50 'o2(g)'   1.00 'seo3-2'  87.4477  4.0 -2.0
'seo4-2' 2   0.50 'o2(g)'   1.00 'seo3-2' -12.5344  4.0 -2.0
'sm+2' 3  -1.00 'h+'  -0.25 'o2(g)'   1.00 'sm+3'  47.2378  4.5  2.0
'sn+4' 3   0.50 'o2(g)'   1.00 'sn+2'   2.00 'h+' -36.2528  5.5  4.0
'so3-2' 2  -0.50 'o2(g)'   1.00 'so4-2'  45.1752  4.0 -2.0
'tc+3' 3  -1.00 'o2(g)'   1.00 'tco4-'   4.00 'h+'  44.7157  5.0  3.0
'tco+2' 3  -0.75 'o2(g)'   1.00 'tco4-'   3.00 'h+'  29.3322  4.5  2.0
'tco4-2' 3  -1.00 'h+'  -0.25 'o2(g)'   1.00 'tco4-'  31.0951  4.0 -2.0
'tco4-3' 3  -2.00 'h+'  -0.50 'o2(g)'   1.00 'tco4-'  61.8398  4.0 -3.0
'u+3' 3  -0.75 'o2(g)'   1.00 'h+'   1.00 'uo2+2'  62.8716  5.0  3.0
'u+4' 3  -0.50 'o2(g)'   1.00 'uo2+2'   2.00 'h+'  32.4956  5.5  4.0
'uo2+' 2   1.00 'uo2+2'   1.00 'e-'  -2.1100  4.0  1.0
'v+3' 3  -0.25 'o2(g)'   1.00 'h+'   1.00 'vo+2'  14.9945  5.0  3.0
'vo2+' 3  -1.00 'h+'   0.25 'o2(g)'   1.00 'vo+2'  -3.8528  4.0  1.0
'vo4-3' 3  -6.00 'h+'   0.50 'o2(g)'   1.00 'v+3'   9.6002  4.0 -3.0
'yb+2' 3  -1.00 'h+'  -0.25 'o2(g)'   1.00 'yb+3'  38.7349  4.5  2.0
'zr+4' 2   1.00 'zr(oh)2+2'   2.00 'h+'  -0.2385  5.5  4.0
'(npo2)2(oh)2+2' 2  -2.00 'h+'   2.00 'npo2+2'   6.4000  4.5  2.0
'(npo2)3(oh)5+' 2  -5.00 'h+'   3.00 'npo2+2'  17.5000  4.0  1.0
'(puo2)2(oh)2+2' 2  -2.00 'h+'   2.00 'puo2+2'   8.2626  4.5  2.0
'(puo2)3(oh)5+' 2  -5.00 'h+'   3.00 'puo2+2'  21.6550  4.0  1.0
'(tco(oh)2)2(aq)' 2  -4.00 'h+'   2.00 'tco+2'   0.1271  3.0  0.0
'(uo2)11(co3)6(oh)12-2' 4  -6.00 'h+'   6.00 'hco3-'  11.00 'uo2+2'  12.00 'oh-'-142.1961  0.0 -2.0
'(uo2)2(oh)2+2' 2  -2.00 'h+'   2.00 'uo2+2'   5.6368  4.5  2.0
'(uo2)2co3(oh)3-' 3  -3.00 'h+'   1.00 'co3-2'   2.00 'uo2+2'   1.9200  4.0 -1.0
'(uo2)2oh+3' 2  -1.00 'h+'   2.00 'uo2+2'   2.7091  5.0  3.0
'(uo2)3(co3)6(6-)' 3  -6.00 'h+'   3.00 'uo2+2'   6.00 'hco3-'   8.0601  4.0 -6.0
'(uo2)3(oh)4+2' 2  -4.00 'h+'   3.00 'uo2+2'  11.9312  4.5  2.0
'(uo2)3(oh)5+' 2  -5.00 'h+'   3.00 'uo2+2'  15.5895  4.0  1.0
'(uo2)3(oh)5co2+' 3  -3.00 'h+'   1.00 'co3-2'   3.00 'uo2+2'  -0.7066  4.0  1.0
'(uo2)3(oh)7-' 2  -7.00 'h+'   3.00 'uo2+2'  31.0542  4.0 -1.0
'(uo2)4(oh)7+' 2  -7.00 'h+'   4.00 'uo2+2'  21.9540  4.0  1.0
'(vo)2(oh)2+2' 2  -2.00 'h+'   2.00 'vo+2'   6.6700  4.5  2.0
'1-butanamine(aq)' 4  -3.00 'h+'  -3.00 'no3-'   4.00 'methanamine(aq)'   6.00 'o2(g)'-190.8266  0.0  0.0
'1-butanol(aq)' 1   4.00 'methanol(aq)' -29.8357  0.0  0.0
'1-butene(aq)' 2   1.00 'o2(g)'   2.00 'ethane(aq)' -62.5206  0.0  0.0
'1-butyne(aq)' 2   1.50 'o2(g)'   2.00 'ethane(aq)' -82.2882  0.0  0.0
'1-heptanamine(aq)' 4  -6.00 'h+'  -6.00 'no3-'   7.00 'methanamine(aq)'  12.00 'o2(g)'-379.3590  0.0  0.0
'1-heptanol(aq)' 1   7.00 'methanol(aq)' -57.0105  0.0  0.0
'1-heptene(aq)' 2   1.75 'o2(g)'   3.50 'ethane(aq)'-116.0760  0.0  0.0
'1-heptyne(aq)' 2   2.25 'o2(g)'   3.50 'ethane(aq)'-135.4330  0.0  0.0
'1-hexanamine(aq)' 4  -5.00 'h+'  -5.00 'no3-'   6.00 'methanamine(aq)'  10.00 'o2(g)'-316.1850  0.0  0.0
'1-hexanol(aq)' 1   6.00 'methanol(aq)' -48.8392  0.0  0.0
'1-hexene(aq)' 2   1.50 'o2(g)'   3.00 'ethane(aq)' -98.2486  0.0  0.0
